row,subj,time,trial,stimulus,guess
107,21,1476375084612,1,OBOOOOBB,BBOBBBOB
108,21,1476375100604,2,BBOOOBBB,BBOBBBBO
109,21,1476375114779,3,BBOOBOOO,BOBOOBBB
110,21,1476375128444,4,BBBOBOBB,BBOBOOBO
111,22,1476375146178,0,BBOOBBOB,OOBBOBBO
112,22,1476375157575,1,OBOBBBBO,OOBBOBOO
113,22,1476375165950,2,OOOBBBBB,OOOOOOBB
114,22,1476375181684,3,OBOOOOBB,OOOOBBBB
115,22,1476375192175,4,OOBBBOOB,OOBOBOBB
116,23,1476376673038,0,BOOBBOBB,BBOBBBBO
117,23,1476376700949,1,BBBOBBBB,OBBOBOBB
118,23,1476376722439,2,OBOOOOOO,BOBBBOBO
119,23,1476376744297,3,BOBOOBBB,BBOOBBOO
120,23,1476376765428,4,OBBBOOOB,OBOOBOOO
121,24,1476376682585,0,OOBOBBOO,OBOBBOOO
122,24,1476376706537,1,BBOOBBOB,OOBOBBOO
123,24,1476376728092,2,OOOOBOOB,OOOBOOOO
124,24,1476376751257,3,OOOOOBBB,OOOOOOBB
125,24,1476376778612,4,OOOBOOOO,OOOOBOOB
126,25,1476377310308,0,OOOOBBOO,BOBOOOOO
127,25,1476377330556,1,BBBBBBBO,OBBOBBBB
128,25,1476377349149,2,BBBBOOOB,OOOOBBBB
129,25,1476377363189,3,OBOBBOBB,BOOOOBOO
130,25,1476377377221,4,BBBBBOOO,BOBBOOOO
131,26,1476377440053,0,BBBOOBBB,OOBBBOBO
132,26,1476377458951,1,BBBOOOOO,BOBOOBOB
133,26,1476377481784,2,BOBBOBBB,BBOBOBOO
134,26,1476377501108,3,OOBOBBBO,BOOOBOBB
135,26,1476377513237,4,OBOOOOOB,BOOBBOOO
136,27,1476377555642,0,BOOBOBBO,BBBBOOOO
137,27,1476377579464,1,BBBOOOBB,OBOOOBOB
138,27,1476377615010,2,OOBOBBOO,OOOOOBOB
139,27,1476377629696,3,BBBBBOBB,BBBBBBBB
140,27,1476377648390,4,BOBOOBOO,BBOOBOBO
141,28,1476378504162,0,OBOBOBBO,BOBBOBOO
142,28,1476378526443,1,OOBOOBBO,OBOBBOOO
143,28,1476378558561,2,OOBBOOOO,OOBBOBOO
144,28,1476378581932,3,BBBOOBBO,OBBOBOOB
145,28,1476378607895,4,BBOBOOBO,OBBOOOOB
146,29,1476378611284,0,OBBBBOOB,BBBOBOBB
147,29,1476378624983,1,OBOOBOOO,BOOOOBOB
148,29,1476378639031,2,OBOBBOOB,BOOOOBBO
149,29,1476378654446,3,OOBBBOOO,OBOBOOOO
150,29,1476378668107,4,BOBOOOBB,OBOBBOBO
151,30,1476384519618,0,OOBBOBOO,OOOBBOBO
152,30,1476384533426,1,OBBBOBOB,OOBOBBOB
153,30,1476384542633,2,BOOBBOOO,BOOBOBOB
154,30,1476384552001,3,OOOBOBBB,OBOOOBBB
155,30,1476384562257,4,OOBOOBOO,OBBBOBBO
156,31,1476466811711,0,BBOBOOOB,OBBOBBBB
157,31,1476466844998,1,OBOBBOOO,OOBBOOOB
158,31,1476466866383,2,OOBBBBBO,BOOBOBBB
159,31,1476466891224,3,OOBOBBOO,OOOBOOOB
160,31,1476466916294,4,OBOBBBOO,BOOOOOOB
161,32,1476466735840,0,OOOOBBBB,OOOBOOOO
162,32,1476466765940,1,BOBBOBOB,OOOOOOOO
163,32,1476466788358,2,BBOOBBBO,OOOOBOBO
164,32,1476466813505,3,BBOOOBOO,OBBOBOBO
165,32,1476466834907,4,OBBOOOOO,OOOOBOBO
166,33,1476466856817,0,BOOOOBBO,OOOOOOOB
167,33,1476466885382,1,OOOOBOOB,OOOBOBOO
168,33,1476466909059,2,OOOOBBOO,OOOOOOOO
