binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=2h
-13.1908	"/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/G/B,GB/G"
-13.1787	"/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R"
-16.047	"/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-16.6672	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/"
-14.5063	"/R,/R,/R,/R,/R,/R,/R,/R,/R,B"
-14.5063	"/R,/R,/R,/R,/R,/R,/R,/R,/R,G"
-12.8469	"/R,B,/R,B,/R,B,/R,B,/R,B"
-14.8418	"/R,B,B,B,B,B,B,B,B,B"
-9.52919	"/R,B/,/R,B/,/R,B/,/R,B/,/R,B/"
-10.543	"/R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B/"
-12.2352	"/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B"
-14.3682	"/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-16.1306	"/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/B"
-15.9905	"/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R"
-14.1165	"/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,G"
-12.5603	"/R,G,/R,G,/R,G,/R,G,/R,G"
-9.59387	"/R,G/,/R,G/,/R,G/,/R,G/,/R,G/"
-15.3329	"/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G"
-10.4743	"/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G/"
-14.1207	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,B"
-12.2333	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G"
-14.4302	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.1876	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-16.0425	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-11.7249	"/R,GB,/R,GB,/R,GB,/R,GB,/R,GB"
-14.7225	"/R,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-8.13749	"/R,GB/,/R,GB/,/R,GB/,/R,GB/,/R,GB/"
-14.4975	"/R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB"
-9.12481	"/R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB/"
-13.2263	"/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B"
-13.2263	"/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/G/R,GB/G"
-11.6681	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB"
-14.2952	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-16.0738	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R"
-13.19	"/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/R/R,GB/R"
-13.798	"/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,"
-15.6279	"/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/"
-13.2885	"/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,B"
-13.2885	"/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,G"
-11.9114	"/RB,/RB,B,/RB,B,B,/RB,B,B,"
-11.3683	"/RB,B,/RB,B,/RB,B,/RB,B,/RB,B"
-8.20104	"/RB,B/,/RB,B/,/RB,B/,/RB,B/,/RB,B/"
-14.2462	"/RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B"
-9.13264	"/RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B/"
-13.1908	"/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/B/RB,B/B"
-13.19	"/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/G/RB,B/G"
-13.1949	"/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/R/RB,B/R"
-11.7048	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B"
-13.9388	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-15.8621	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/B"
