binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=1h
-37.6749	",/,/B,///RB,GBGBGBGBGBGBGB//B,/,/B,//RBB/,/RB,GB"
-37.6749	",/,/B,///RB,GBGBGBGBGBGBGBGB//B,/,/B,//RBB/,/RB,"
-35.5763	",/,/G,G/RB//,/RB,GB/G,G/RB//G,G/RB//,/RB,"
-36.2695	",/,/G,G/RB//,/RB,GB/G,G/RB//G,G/RB//,/RB,GB"
-36.9626	",/,/G,G/RB//,/RB,GB/G,G/RB//G,G/RB//,/RB,GBGB"
-36.2695	",/,/G,G/RB//,/RB,GBGB/G,G/RB//G,G/RB//,/RB,"
-36.9626	",/,/G,G/RB//,/RB,GBGB/G,G/RB//G,G/RB//,/RB,GB"
-36.9626	",/,/G,G/RB//,/RB,GBGBGB/G,G/RB//G,G/RB//,/RB,"
-37.6558	",/,/G,G/RB//,/RB,GBGBGBGB/G,G/RB//G,G/RB//,/RB,"
-35.5763	",/,/G,G/RB//G,G/RB//,/RB,GB/G,G/RB//,/RB,"
-36.2695	",/,/G,G/RB//G,G/RB//,/RB,GB/G,G/RB//,/RB,GB"
-36.9626	",/,/G,G/RB//G,G/RB//,/RB,GB/G,G/RB//,/RB,GBGB"
-36.2695	",/,/G,G/RB//G,G/RB//,/RB,GBGB/G,G/RB//,/RB,"
-36.9626	",/,/G,G/RB//G,G/RB//,/RB,GBGB/G,G/RB//,/RB,GB"
-37.6558	",/,/G,G/RB//G,G/RB//,/RB,GBGB/G,G/RB//,/RB,GBGB"
-36.9626	",/,/G,G/RB//G,G/RB//,/RB,GBGBGB/G,G/RB//,/RB,"
-35.5763	",/,/G,G/RB//G,G/RB//G,G/RB//,/RB,GB/,/RB,"
-36.2695	",/,/G,G/RB//G,G/RB//G,G/RB//,/RB,GB/,/RB,GB"
-36.9626	",/,/G,G/RB//G,G/RB//G,G/RB//,/RB,GB/,/RB,GBGB"
-36.2695	",/,/G,G/RB//G,G/RB//G,G/RB//,/RB,GBGB/,/RB,"
-36.9626	",/,/G,G/RB//G,G/RB//G,G/RB//,/RB,GBGB/,/RB,GB"
-36.9626	",/,/G,G/RB//G,G/RB//G,G/RB//,/RB,GBGBGB/,/RB,"
-34.9023	",//,/R,//RBR/,/RB,GB/,/RB,GB/,/RB,"
-35.5955	",//,/R,//RBR/,/RB,GB/,/RB,GB/,/RB,GB"
-36.2886	",//,/R,//RBR/,/RB,GB/,/RB,GB/,/RB,GBGB"
-36.9818	",//,/R,//RBR/,/RB,GB/,/RB,GB/,/RB,GBGBGB"
-37.6749	",//,/R,//RBR/,/RB,GB/,/RB,GB/,/RB,GBGBGBGB"
-35.5955	",//,/R,//RBR/,/RB,GB/,/RB,GBGB/,/RB,"
-36.2886	",//,/R,//RBR/,/RB,GB/,/RB,GBGB/,/RB,GB"
-36.9818	",//,/R,//RBR/,/RB,GB/,/RB,GBGB/,/RB,GBGB"
-37.6749	",//,/R,//RBR/,/RB,GB/,/RB,GBGB/,/RB,GBGBGB"
-36.2886	",//,/R,//RBR/,/RB,GB/,/RB,GBGBGB/,/RB,"
-36.9818	",//,/R,//RBR/,/RB,GB/,/RB,GBGBGB/,/RB,GB"
-37.6749	",//,/R,//RBR/,/RB,GB/,/RB,GBGBGB/,/RB,GBGB"
-36.9818	",//,/R,//RBR/,/RB,GB/,/RB,GBGBGBGB/,/RB,"
-37.6749	",//,/R,//RBR/,/RB,GB/,/RB,GBGBGBGBGB/,/RB,"
-35.5955	",//,/R,//RBR/,/RB,GBGB/,/RB,GB/,/RB,"
-36.2886	",//,/R,//RBR/,/RB,GBGB/,/RB,GB/,/RB,GB"
-36.9818	",//,/R,//RBR/,/RB,GBGB/,/RB,GB/,/RB,GBGB"
-36.2886	",//,/R,//RBR/,/RB,GBGB/,/RB,GBGB/,/RB,"
-36.9818	",//,/R,//RBR/,/RB,GBGB/,/RB,GBGB/,/RB,GB"
-36.9818	",//,/R,//RBR/,/RB,GBGB/,/RB,GBGBGB/,/RB,"
-37.6749	",//,/R,//RBR/,/RB,GBGB/,/RB,GBGBGB/,/RB,GB"
-36.2886	",//,/R,//RBR/,/RB,GBGBGB/,/RB,GB/,/RB,"
-36.9818	",//,/R,//RBR/,/RB,GBGBGB/,/RB,GB/,/RB,GB"
-36.9818	",//,/R,//RBR/,/RB,GBGBGB/,/RB,GBGB/,/RB,"
-37.6749	",//,/R,//RBR/,/RB,GBGBGB/,/RB,GBGB/,/RB,GB"
-37.6749	",//,/R,//RBR/,/RB,GBGBGB/,/RB,GBGBGB/,/RB,"
-36.9818	",//,/R,//RBR/,/RB,GBGBGBGB/,/RB,GB/,/RB,"
-32.823	",//,/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB"
-36.9626	",//RB,GB/,/RB,GB/,/RB,GB/G,G/RB//,/RB,"
-36.9626	",//RB,GB/,/RB,GB/G,G/RB//,/RB,GB/,/RB,"
-36.9626	",//RB,GB/G,G/RB//,/RB,GB/,/RB,GB/,/RB,"
-36.2695	",/G,G/RB//,/RB,GB/,/RB,GB/G,G/RB//,/RB,"
-36.9626	",/G,G/RB//,/RB,GB/,/RB,GB/G,G/RB//,/RB,GB"
-36.9626	",/G,G/RB//,/RB,GB/,/RB,GBGB/G,G/RB//,/RB,"
-36.2695	",/G,G/RB//,/RB,GB/G,G/RB//,/RB,GB/,/RB,"
-36.9626	",/G,G/RB//,/RB,GB/G,G/RB//,/RB,GB/,/RB,GB"
-36.9626	",/G,G/RB//,/RB,GB/G,G/RB//,/RB,GBGB/,/RB,"
-37.6558	",/G,G/RB//,/RB,GB/G,G/RB//,/RB,GBGBGB/,/RB,"
-36.9626	",/G,G/RB//,/RB,GBGB/,/RB,GB/G,G/RB//,/RB,"
-36.9626	",/G,G/RB//,/RB,GBGB/G,G/RB//,/RB,GB/,/RB,"
-36.2695	",/G,G/RB//G,G/RB//,/RB,GB/,/RB,GB/,/RB,"
-36.9626	",/G,G/RB//G,G/RB//,/RB,GB/,/RB,GB/,/RB,GB"
-36.9626	",/G,G/RB//G,G/RB//,/RB,GB/,/RB,GBGB/,/RB,"
-36.9626	",/G,G/RB//G,G/RB//,/RB,GBGB/,/RB,GB/,/RB,"
-37.6558	",/G,G/RB//G,G/RB//,/RB,GBGB/,/RB,GBGB/,/RB,"
-30.4941	",/G/,/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB"
-38.5447	",/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB/,/RBRGB"
-38.5447	",/RB,GB/,/RB,GB/,/RB,GB/,/RBRGB/,/RB,GB"
-34.679	",/RB,GB/,/RB,GB/,/RB/GB/,/RB,GB/,/RB,GB"
-38.5447	",/RB,GB/,/RB,GB/,/RBRGB/,/RB,GB/,/RB,GB"
-31.1156	",/RB,GB/,/RB/GB/,/RB,GB/,/RB,GB/,/RB,GB"
