binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=1h
-36.9626	",B//RB,GB/,/RB,GB/,/RB,GB/B,B/RBB/,/RB,"
-32.437	",B//RB,GB/,/RB,GB/B,B/RB//,/RB,GB/,/RB,"
-36.9626	",B//RB,GB/,/RB,GB/B,B/RBB/,/RB,GB/,/RB,"
-32.437	",B//RB,GB/B,B/RB//,/RB,GB/,/RB,GB/,/RB,"
-36.9626	",B//RB,GB/B,B/RBB/,/RB,GB/,/RB,GB/,/RB,"
-31.7547	",B/B,B/RB//,/RB,GB/,/RB,GB/B,B/RB//,/RB,"
-32.4478	",B/B,B/RB//,/RB,GB/,/RB,GB/B,B/RB//,/RB,GB"
-32.4478	",B/B,B/RB//,/RB,GB/,/RB,GBGB/B,B/RB//,/RB,"
-31.7547	",B/B,B/RB//,/RB,GB/B,B/RB//,/RB,GB/,/RB,"
-32.4478	",B/B,B/RB//,/RB,GB/B,B/RB//,/RB,GB/,/RB,GB"
-32.4478	",B/B,B/RB//,/RB,GB/B,B/RB//,/RB,GBGB/,/RB,"
-33.141	",B/B,B/RB//,/RB,GB/B,B/RB//,/RB,GBGBGB/,/RB,"
-32.4478	",B/B,B/RB//,/RB,GBGB/,/RB,GB/B,B/RB//,/RB,"
-32.4478	",B/B,B/RB//,/RB,GBGB/B,B/RB//,/RB,GB/,/RB,"
-31.7547	",B/B,B/RB//B,B/RB//,/RB,GB/,/RB,GB/,/RB,"
-32.4478	",B/B,B/RB//B,B/RB//,/RB,GB/,/RB,GB/,/RB,GB"
-32.4478	",B/B,B/RB//B,B/RB//,/RB,GB/,/RB,GBGB/,/RB,"
-32.4478	",B/B,B/RB//B,B/RB//,/RB,GBGB/,/RB,GB/,/RB,"
-33.141	",B/B,B/RB//B,B/RB//,/RB,GBGB/,/RB,GBGB/,/RB,"
-36.2695	",B/B,B/RBB/,/RB,GB/,/RB,GB/B,B/RBB/,/RB,"
-36.9626	",B/B,B/RBB/,/RB,GB/,/RB,GB/B,B/RBB/,/RB,GB"
-36.9626	",B/B,B/RBB/,/RB,GB/,/RB,GBGB/B,B/RBB/,/RB,"
-36.2695	",B/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,GB/,/RB,"
-36.9626	",B/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,GB/,/RB,GB"
-36.9626	",B/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,GBGB/,/RB,"
-37.6558	",B/B,B/RBB/,/RB,GB/B,B/RBB/,/RB,GBGBGB/,/RB,"
-36.9626	",B/B,B/RBB/,/RB,GBGB/,/RB,GB/B,B/RBB/,/RB,"
-36.9626	",B/B,B/RBB/,/RB,GBGB/B,B/RBB/,/RB,GB/,/RB,"
-36.2695	",B/B,B/RBB/B,B/RBB/,/RB,GB/,/RB,GB/,/RB,"
-36.9626	",B/B,B/RBB/B,B/RBB/,/RB,GB/,/RB,GB/,/RB,GB"
-36.9626	",B/B,B/RBB/B,B/RBB/,/RB,GB/,/RB,GBGB/,/RB,"
-36.9626	",B/B,B/RBB/B,B/RBB/,/RB,GBGB/,/RB,GB/,/RB,"
-37.6558	",B/B,B/RBB/B,B/RBB/,/RB,GBGB/,/RB,GBGB/,/RB,"
-36.9626	",B/RB//,/RB,GB/,/RB,GB/,/RB,GB/,/RB,"
-33.0796	",G/,G/,G/,G/RB//,G/RB//,G/RB//,G/RB//,/RB,"
-33.7727	",G/,G/,G/,G/RB//,G/RB//,G/RB//,G/RB//,/RB,GB"
-34.4659	",G/,G/,G/,G/RB//,G/RB//,G/RB//,G/RB//,/RB,GBGB"
-35.159	",G/,G/,G/,G/RB//,G/RB//,G/RB//,G/RB//,/RB,GBGBGB"
-34.8142	",G/,G/,G/,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,"
-35.5073	",G/,G/,G/,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,GB"
-36.2005	",G/,G/,G/,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,GBGB"
-36.8936	",G/,G/,G/,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,GBGBGB"
-33.7727	",G/,G/,G//RB,GB/,G/RB//,G/RB//,G/RB//,/RB,"
-34.4659	",G/,G/,G//RB,GB/,G/RB//,G/RB//,G/RB//,/RB,GB"
-35.159	",G/,G/,G//RB,GB/,G/RB//,G/RB//,G/RB//,/RB,GBGB"
-34.4777	",G/,G/,G//RB,GB/G,/RB//G,/RB//G,/RB//,/RB,"
-35.1709	",G/,G/,G//RB,GB/G,/RB//G,/RB//G,/RB//,/RB,GB"
-35.864	",G/,G/,G//RB,GB/G,/RB//G,/RB//G,/RB//,/RB,GBGB"
-31.1839	",G/,G/,G//RB,GB/G,G/RB//G,G/RB//G,G/RB//,/RB,"
-31.8771	",G/,G/,G//RB,GB/G,G/RB//G,G/RB//G,G/RB//,/RB,GB"
-32.5702	",G/,G/,G//RB,GB/G,G/RB//G,G/RB//G,G/RB//,/RB,GBGB"
-34.4659	",G/,G/,G//RB,GBGB/,G/RB//,G/RB//,G/RB//,/RB,"
-35.159	",G/,G/,G//RB,GBGB/,G/RB//,G/RB//,G/RB//,/RB,GB"
-35.1709	",G/,G/,G//RB,GBGB/G,/RB//G,/RB//G,/RB//,/RB,"
-35.864	",G/,G/,G//RB,GBGB/G,/RB//G,/RB//G,/RB//,/RB,GB"
-31.8771	",G/,G/,G//RB,GBGB/G,G/RB//G,G/RB//G,G/RB//,/RB,"
-32.5702	",G/,G/,G//RB,GBGB/G,G/RB//G,G/RB//G,G/RB//,/RB,GB"
-35.159	",G/,G/,G//RB,GBGBGB/,G/RB//,G/RB//,G/RB//,/RB,"
-35.864	",G/,G/,G//RB,GBGBGB/G,/RB//G,/RB//G,/RB//,/RB,"
-32.5702	",G/,G/,G//RB,GBGBGB/G,G/RB//G,G/RB//G,G/RB//,/RB,"
-33.7846	",G/,G/,G/G,/RB//G,/RB//G,/RB//G,/RB//,/RB,"
-34.4777	",G/,G/,G/G,/RB//G,/RB//G,/RB//G,/RB//,/RB,GB"
-35.1709	",G/,G/,G/G,/RB//G,/RB//G,/RB//G,/RB//,/RB,GBGB"
-35.864	",G/,G/,G/G,/RB//G,/RB//G,/RB//G,/RB//,/RB,GBGBGB"
-30.5041	",G/,G/,G/G,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,"
-31.1973	",G/,G/,G/G,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,GB"
-31.8904	",G/,G/,G/G,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,GBGB"
-32.5836	",G/,G/,G/G,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,GBGBGB"
-33.7727	",G/,G/,G/RB//,/RB,GB/,G/RB//,G/RB//,/RB,"
-34.4659	",G/,G/,G/RB//,/RB,GB/,G/RB//,G/RB//,/RB,GB"
-35.159	",G/,G/,G/RB//,/RB,GB/,G/RB//,G/RB//,/RB,GBGB"
-35.5073	",G/,G/,G/RB//,/RB,GB/G,G/RB//G,G/RB//,/RB,"
-36.2005	",G/,G/,G/RB//,/RB,GB/G,G/RB//G,G/RB//,/RB,GB"
-36.8936	",G/,G/,G/RB//,/RB,GB/G,G/RB//G,G/RB//,/RB,GBGB"
-34.4659	",G/,G/,G/RB//,/RB,GBGB/,G/RB//,G/RB//,/RB,"
-35.159	",G/,G/,G/RB//,/RB,GBGB/,G/RB//,G/RB//,/RB,GB"
-36.2005	",G/,G/,G/RB//,/RB,GBGB/G,G/RB//G,G/RB//,/RB,"
-36.8936	",G/,G/,G/RB//,/RB,GBGB/G,G/RB//G,G/RB//,/RB,GB"
-35.159	",G/,G/,G/RB//,/RB,GBGBGB/,G/RB//,G/RB//,/RB,"
-36.8936	",G/,G/,G/RB//,/RB,GBGBGB/G,G/RB//G,G/RB//,/RB,"
-35.8522	",G/,G/,G/RB//,/RB,GBGBGBGB/,G/RB//,G/RB//,/RB,"
-37.5868	",G/,G/,G/RB//,/RB,GBGBGBGB/G,G/RB//G,G/RB//,/RB,"
-33.7727	",G/,G/,G/RB//,G/RB//,/RB,GB/,G/RB//,/RB,"
-34.4659	",G/,G/,G/RB//,G/RB//,/RB,GB/,G/RB//,/RB,GB"
-35.159	",G/,G/,G/RB//,G/RB//,/RB,GB/,G/RB//,/RB,GBGB"
-34.4659	",G/,G/,G/RB//,G/RB//,/RB,GBGB/,G/RB//,/RB,"
-35.159	",G/,G/,G/RB//,G/RB//,/RB,GBGB/,G/RB//,/RB,GB"
-35.8522	",G/,G/,G/RB//,G/RB//,/RB,GBGB/,G/RB//,/RB,GBGB"
-35.159	",G/,G/,G/RB//,G/RB//,/RB,GBGBGB/,G/RB//,/RB,"
-33.7727	",G/,G/,G/RB//,G/RB//,G/RB//,/RB,GB/,/RB,"
-34.4659	",G/,G/,G/RB//,G/RB//,G/RB//,/RB,GB/,/RB,GB"
-35.159	",G/,G/,G/RB//,G/RB//,G/RB//,/RB,GB/,/RB,GBGB"
-34.4659	",G/,G/,G/RB//,G/RB//,G/RB//,/RB,GBGB/,/RB,"
-35.159	",G/,G/,G/RB//,G/RB//,G/RB//,/RB,GBGB/,/RB,GB"
-35.159	",G/,G/,G/RB//,G/RB//,G/RB//,/RB,GBGBGB/,/RB,"
-35.5073	",G/,G/,G/RB//G,G/RB//,/RB,GB/G,G/RB//,/RB,"
-36.2005	",G/,G/,G/RB//G,G/RB//,/RB,GB/G,G/RB//,/RB,GB"
-36.8936	",G/,G/,G/RB//G,G/RB//,/RB,GB/G,G/RB//,/RB,GBGB"
-36.2005	",G/,G/,G/RB//G,G/RB//,/RB,GBGB/G,G/RB//,/RB,"
-36.8936	",G/,G/,G/RB//G,G/RB//,/RB,GBGB/G,G/RB//,/RB,GB"
-37.5868	",G/,G/,G/RB//G,G/RB//,/RB,GBGB/G,G/RB//,/RB,GBGB"
-36.8936	",G/,G/,G/RB//G,G/RB//,/RB,GBGBGB/G,G/RB//,/RB,"
-35.5073	",G/,G/,G/RB//G,G/RB//G,G/RB//,/RB,GB/,/RB,"
-36.2005	",G/,G/,G/RB//G,G/RB//G,G/RB//,/RB,GB/,/RB,GB"
-36.8936	",G/,G/,G/RB//G,G/RB//G,G/RB//,/RB,GB/,/RB,GBGB"
-36.2005	",G/,G/,G/RB//G,G/RB//G,G/RB//,/RB,GBGB/,/RB,"
-36.8936	",G/,G/,G/RB//G,G/RB//G,G/RB//,/RB,GBGB/,/RB,GB"
-36.8936	",G/,G/,G/RB//G,G/RB//G,G/RB//,/RB,GBGBGB/,/RB,"
-34.4659	",G/,G//RB,GB/,/RB,GB/,G/RB//,G/RB//,/RB,"
-35.159	",G/,G//RB,GB/,/RB,GB/,G/RB//,G/RB//,/RB,GB"
-35.1709	",G/,G//RB,GB/,/RB,GB/G,/RB//G,/RB//,/RB,"
-35.864	",G/,G//RB,GB/,/RB,GB/G,/RB//G,/RB//,/RB,GB"
-31.8771	",G/,G//RB,GB/,/RB,GB/G,G/RB//G,G/RB//,/RB,"
-32.5702	",G/,G//RB,GB/,/RB,GB/G,G/RB//G,G/RB//,/RB,GB"
-35.159	",G/,G//RB,GB/,/RB,GBGB/,G/RB//,G/RB//,/RB,"
-35.8522	",G/,G//RB,GB/,/RB,GBGB/,G/RB//,G/RB//,/RB,GB"
-35.864	",G/,G//RB,GB/,/RB,GBGB/G,/RB//G,/RB//,/RB,"
-36.5572	",G/,G//RB,GB/,/RB,GBGB/G,/RB//G,/RB//,/RB,GB"
-32.5702	",G/,G//RB,GB/,/RB,GBGB/G,G/RB//G,G/RB//,/RB,"
-33.2634	",G/,G//RB,GB/,/RB,GBGB/G,G/RB//G,G/RB//,/RB,GB"
-34.4659	",G/,G//RB,GB/,G/RB//,/RB,GB/,G/RB//,/RB,"
-35.159	",G/,G//RB,GB/,G/RB//,/RB,GB/,G/RB//,/RB,GB"
-35.159	",G/,G//RB,GB/,G/RB//,/RB,GBGB/,G/RB//,/RB,"
-34.4659	",G/,G//RB,GB/,G/RB//,G/RB//,/RB,GB/,/RB,"
-35.159	",G/,G//RB,GB/,G/RB//,G/RB//,/RB,GB/,/RB,GB"
-35.159	",G/,G//RB,GB/,G/RB//,G/RB//,/RB,GBGB/,/RB,"
-35.1709	",G/,G//RB,GB/G,/RB//,/RB,GB/G,/RB//,/RB,"
-35.864	",G/,G//RB,GB/G,/RB//,/RB,GB/G,/RB//,/RB,GB"
-35.864	",G/,G//RB,GB/G,/RB//,/RB,GBGB/G,/RB//,/RB,"
-35.1709	",G/,G//RB,GB/G,/RB//G,/RB//,/RB,GB/,/RB,"
-35.864	",G/,G//RB,GB/G,/RB//G,/RB//,/RB,GB/,/RB,GB"
-35.864	",G/,G//RB,GB/G,/RB//G,/RB//,/RB,GBGB/,/RB,"
-31.8771	",G/,G//RB,GB/G,G/RB//,/RB,GB/G,G/RB//,/RB,"
-32.5702	",G/,G//RB,GB/G,G/RB//,/RB,GB/G,G/RB//,/RB,GB"
-32.5702	",G/,G//RB,GB/G,G/RB//,/RB,GBGB/G,G/RB//,/RB,"
-31.8771	",G/,G//RB,GB/G,G/RB//G,G/RB//,/RB,GB/,/RB,"
-32.5702	",G/,G//RB,GB/G,G/RB//G,G/RB//,/RB,GB/,/RB,GB"
-32.5702	",G/,G//RB,GB/G,G/RB//G,G/RB//,/RB,GBGB/,/RB,"
-35.159	",G/,G//RB,GBGB/,/RB,GB/,G/RB//,G/RB//,/RB,"
-35.864	",G/,G//RB,GBGB/,/RB,GB/G,/RB//G,/RB//,/RB,"
-32.5702	",G/,G//RB,GBGB/,/RB,GB/G,G/RB//G,G/RB//,/RB,"
-35.159	",G/,G//RB,GBGB/,G/RB//,/RB,GB/,G/RB//,/RB,"
-35.159	",G/,G//RB,GBGB/,G/RB//,G/RB//,/RB,GB/,/RB,"
-35.864	",G/,G//RB,GBGB/G,/RB//,/RB,GB/G,/RB//,/RB,"
-35.864	",G/,G//RB,GBGB/G,/RB//G,/RB//,/RB,GB/,/RB,"
-32.5702	",G/,G//RB,GBGB/G,G/RB//,/RB,GB/G,G/RB//,/RB,"
-32.5702	",G/,G//RB,GBGB/G,G/RB//G,G/RB//,/RB,GB/,/RB,"
-34.4777	",G/,G/G,/RB//,/RB,GB/G,/RB//G,/RB//,/RB,"
-35.1709	",G/,G/G,/RB//,/RB,GB/G,/RB//G,/RB//,/RB,GB"
-35.864	",G/,G/G,/RB//,/RB,GB/G,/RB//G,/RB//,/RB,GBGB"
-35.1709	",G/,G/G,/RB//,/RB,GBGB/G,/RB//G,/RB//,/RB,"
-35.864	",G/,G/G,/RB//,/RB,GBGB/G,/RB//G,/RB//,/RB,GB"
-35.864	",G/,G/G,/RB//,/RB,GBGBGB/G,/RB//G,/RB//,/RB,"
-36.5572	",G/,G/G,/RB//,/RB,GBGBGBGB/G,/RB//G,/RB//,/RB,"
-34.4777	",G/,G/G,/RB//G,/RB//,/RB,GB/G,/RB//,/RB,"
-35.1709	",G/,G/G,/RB//G,/RB//,/RB,GB/G,/RB//,/RB,GB"
-35.864	",G/,G/G,/RB//G,/RB//,/RB,GB/G,/RB//,/RB,GBGB"
-35.1709	",G/,G/G,/RB//G,/RB//,/RB,GBGB/G,/RB//,/RB,"
-35.864	",G/,G/G,/RB//G,/RB//,/RB,GBGB/G,/RB//,/RB,GB"
-36.5572	",G/,G/G,/RB//G,/RB//,/RB,GBGB/G,/RB//,/RB,GBGB"
-35.864	",G/,G/G,/RB//G,/RB//,/RB,GBGBGB/G,/RB//,/RB,"
-34.4777	",G/,G/G,/RB//G,/RB//G,/RB//,/RB,GB/,/RB,"
-35.1709	",G/,G/G,/RB//G,/RB//G,/RB//,/RB,GB/,/RB,GB"
-35.864	",G/,G/G,/RB//G,/RB//G,/RB//,/RB,GB/,/RB,GBGB"
-35.1709	",G/,G/G,/RB//G,/RB//G,/RB//,/RB,GBGB/,/RB,"
-35.864	",G/,G/G,/RB//G,/RB//G,/RB//,/RB,GBGB/,/RB,GB"
-35.864	",G/,G/G,/RB//G,/RB//G,/RB//,/RB,GBGBGB/,/RB,"
-31.1973	",G/,G/G,G/RB//,/RB,GB/G,G/RB//G,G/RB//,/RB,"
-31.8904	",G/,G/G,G/RB//,/RB,GB/G,G/RB//G,G/RB//,/RB,GB"
-32.5836	",G/,G/G,G/RB//,/RB,GB/G,G/RB//G,G/RB//,/RB,GBGB"
-31.8904	",G/,G/G,G/RB//,/RB,GBGB/G,G/RB//G,G/RB//,/RB,"
-32.5836	",G/,G/G,G/RB//,/RB,GBGB/G,G/RB//G,G/RB//,/RB,GB"
-32.5836	",G/,G/G,G/RB//,/RB,GBGBGB/G,G/RB//G,G/RB//,/RB,"
-33.2767	",G/,G/G,G/RB//,/RB,GBGBGBGB/G,G/RB//G,G/RB//,/RB,"
-31.1973	",G/,G/G,G/RB//G,G/RB//,/RB,GB/G,G/RB//,/RB,"
-31.8904	",G/,G/G,G/RB//G,G/RB//,/RB,GB/G,G/RB//,/RB,GB"
-32.5836	",G/,G/G,G/RB//G,G/RB//,/RB,GB/G,G/RB//,/RB,GBGB"
-31.8904	",G/,G/G,G/RB//G,G/RB//,/RB,GBGB/G,G/RB//,/RB,"
-32.5836	",G/,G/G,G/RB//G,G/RB//,/RB,GBGB/G,G/RB//,/RB,GB"
-33.2767	",G/,G/G,G/RB//G,G/RB//,/RB,GBGB/G,G/RB//,/RB,GBGB"
-32.5836	",G/,G/G,G/RB//G,G/RB//,/RB,GBGBGB/G,G/RB//,/RB,"
-31.1973	",G/,G/G,G/RB//G,G/RB//G,G/RB//,/RB,GB/,/RB,"
-31.8904	",G/,G/G,G/RB//G,G/RB//G,G/RB//,/RB,GB/,/RB,GB"
-32.5836	",G/,G/G,G/RB//G,G/RB//G,G/RB//,/RB,GB/,/RB,GBGB"
-31.8904	",G/,G/G,G/RB//G,G/RB//G,G/RB//,/RB,GBGB/,/RB,"
-32.5836	",G/,G/G,G/RB//G,G/RB//G,G/RB//,/RB,GBGB/,/RB,GB"
-32.5836	",G/,G/G,G/RB//G,G/RB//G,G/RB//,/RB,GBGBGB/,/RB,"
-34.4659	",G/,G/RB//,/RB,GB/,/RB,GB/,G/RB//,/RB,"
-35.159	",G/,G/RB//,/RB,GB/,/RB,GB/,G/RB//,/RB,GB"
-36.2005	",G/,G/RB//,/RB,GB/,/RB,GB/G,G/RB//,/RB,"
-36.8936	",G/,G/RB//,/RB,GB/,/RB,GB/G,G/RB//,/RB,GB"
-35.159	",G/,G/RB//,/RB,GB/,/RB,GBGB/,G/RB//,/RB,"
-36.8936	",G/,G/RB//,/RB,GB/,/RB,GBGB/G,G/RB//,/RB,"
-34.4659	",G/,G/RB//,/RB,GB/,G/RB//,/RB,GB/,/RB,"
-35.159	",G/,G/RB//,/RB,GB/,G/RB//,/RB,GB/,/RB,GB"
-35.159	",G/,G/RB//,/RB,GB/,G/RB//,/RB,GBGB/,/RB,"
-35.8522	",G/,G/RB//,/RB,GB/,G/RB//,/RB,GBGBGB/,/RB,"
-36.2005	",G/,G/RB//,/RB,GB/G,G/RB//,/RB,GB/,/RB,"
-36.8936	",G/,G/RB//,/RB,GB/G,G/RB//,/RB,GB/,/RB,GB"
-36.8936	",G/,G/RB//,/RB,GB/G,G/RB//,/RB,GBGB/,/RB,"
-37.5868	",G/,G/RB//,/RB,GB/G,G/RB//,/RB,GBGBGB/,/RB,"
-35.159	",G/,G/RB//,/RB,GBGB/,/RB,GB/,G/RB//,/RB,"
-36.8936	",G/,G/RB//,/RB,GBGB/,/RB,GB/G,G/RB//,/RB,"
-35.159	",G/,G/RB//,/RB,GBGB/,G/RB//,/RB,GB/,/RB,"
-36.8936	",G/,G/RB//,/RB,GBGB/G,G/RB//,/RB,GB/,/RB,"
-34.4659	",G/,G/RB//,G/RB//,/RB,GB/,/RB,GB/,/RB,"
-35.159	",G/,G/RB//,G/RB//,/RB,GB/,/RB,GB/,/RB,GB"
-35.159	",G/,G/RB//,G/RB//,/RB,GB/,/RB,GBGB/,/RB,"
-35.159	",G/,G/RB//,G/RB//,/RB,GBGB/,/RB,GB/,/RB,"
-35.8522	",G/,G/RB//,G/RB//,/RB,GBGB/,/RB,GBGB/,/RB,"
-36.2005	",G/,G/RB//G,G/RB//,/RB,GB/,/RB,GB/,/RB,"
-36.8936	",G/,G/RB//G,G/RB//,/RB,GB/,/RB,GB/,/RB,GB"
-36.8936	",G/,G/RB//G,G/RB//,/RB,GB/,/RB,GBGB/,/RB,"
-36.8936	",G/,G/RB//G,G/RB//,/RB,GBGB/,/RB,GB/,/RB,"
-37.5868	",G/,G/RB//G,G/RB//,/RB,GBGB/,/RB,GBGB/,/RB,"
-35.159	",G//RB,GB/,/RB,GB/,/RB,GB/,G/RB//,/RB,"
-35.864	",G//RB,GB/,/RB,GB/,/RB,GB/G,/RB//,/RB,"
-32.5702	",G//RB,GB/,/RB,GB/,/RB,GB/G,G/RB//,/RB,"
-35.159	",G//RB,GB/,/RB,GB/,G/RB//,/RB,GB/,/RB,"
-35.864	",G//RB,GB/,/RB,GB/G,/RB//,/RB,GB/,/RB,"
-32.5702	",G//RB,GB/,/RB,GB/G,G/RB//,/RB,GB/,/RB,"
-35.159	",G//RB,GB/,G/RB//,/RB,GB/,/RB,GB/,/RB,"
-35.864	",G//RB,GB/G,/RB//,/RB,GB/,/RB,GB/,/RB,"
-32.5702	",G//RB,GB/G,G/RB//,/RB,GB/,/RB,GB/,/RB,"
-35.1709	",G/G,/RB//,/RB,GB/,/RB,GB/G,/RB//,/RB,"
-35.864	",G/G,/RB//,/RB,GB/,/RB,GB/G,/RB//,/RB,GB"
-35.864	",G/G,/RB//,/RB,GB/,/RB,GBGB/G,/RB//,/RB,"
-35.1709	",G/G,/RB//,/RB,GB/G,/RB//,/RB,GB/,/RB,"
-35.864	",G/G,/RB//,/RB,GB/G,/RB//,/RB,GB/,/RB,GB"
-35.864	",G/G,/RB//,/RB,GB/G,/RB//,/RB,GBGB/,/RB,"
-36.5572	",G/G,/RB//,/RB,GB/G,/RB//,/RB,GBGBGB/,/RB,"
-35.864	",G/G,/RB//,/RB,GBGB/,/RB,GB/G,/RB//,/RB,"
-35.864	",G/G,/RB//,/RB,GBGB/G,/RB//,/RB,GB/,/RB,"
-35.1709	",G/G,/RB//G,/RB//,/RB,GB/,/RB,GB/,/RB,"
-35.864	",G/G,/RB//G,/RB//,/RB,GB/,/RB,GB/,/RB,GB"
-35.864	",G/G,/RB//G,/RB//,/RB,GB/,/RB,GBGB/,/RB,"
-35.864	",G/G,/RB//G,/RB//,/RB,GBGB/,/RB,GB/,/RB,"
-36.5572	",G/G,/RB//G,/RB//,/RB,GBGB/,/RB,GBGB/,/RB,"
-31.8904	",G/G,G/RB//,/RB,GB/,/RB,GB/G,G/RB//,/RB,"
-32.5836	",G/G,G/RB//,/RB,GB/,/RB,GB/G,G/RB//,/RB,GB"
-32.5836	",G/G,G/RB//,/RB,GB/,/RB,GBGB/G,G/RB//,/RB,"
-31.8904	",G/G,G/RB//,/RB,GB/G,G/RB//,/RB,GB/,/RB,"
-32.5836	",G/G,G/RB//,/RB,GB/G,G/RB//,/RB,GB/,/RB,GB"
-32.5836	",G/G,G/RB//,/RB,GB/G,G/RB//,/RB,GBGB/,/RB,"
-33.2767	",G/G,G/RB//,/RB,GB/G,G/RB//,/RB,GBGBGB/,/RB,"
-32.5836	",G/G,G/RB//,/RB,GBGB/,/RB,GB/G,G/RB//,/RB,"
-32.5836	",G/G,G/RB//,/RB,GBGB/G,G/RB//,/RB,GB/,/RB,"
-31.8904	",G/G,G/RB//G,G/RB//,/RB,GB/,/RB,GB/,/RB,"
-32.5836	",G/G,G/RB//G,G/RB//,/RB,GB/,/RB,GB/,/RB,GB"
-32.5836	",G/G,G/RB//G,G/RB//,/RB,GB/,/RB,GBGB/,/RB,"
-32.5836	",G/G,G/RB//G,G/RB//,/RB,GBGB/,/RB,GB/,/RB,"
-33.2767	",G/G,G/RB//G,G/RB//,/RB,GBGB/,/RB,GBGB/,/RB,"
-34.9965	",G/RB//,/RB,GB/,/RB,GB/,/RB,GB/,/RB,"
-32.453	",G/RG/,/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB"
-25.3287	",GB/,/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB"
-34.8142	",R/,R/,R/,R/RB//R,R/RB//R,R/RB//R,R/RB//,/RB,"
-35.5073	",R/,R/,R/,R/RB//R,R/RB//R,R/RB//R,R/RB//,/RB,GB"
-36.2005	",R/,R/,R/,R/RB//R,R/RB//R,R/RB//R,R/RB//,/RB,GBGB"
-36.8936	",R/,R/,R/,R/RB//R,R/RB//R,R/RB//R,R/RB//,/RB,GBGBGB"
-35.5073	",R/,R/,R//RB,GB/R,/RB//R,/RB//R,/RB//,/RB,"
-36.2005	",R/,R/,R//RB,GB/R,/RB//R,/RB//R,/RB//,/RB,GB"
-36.8936	",R/,R/,R//RB,GB/R,/RB//R,/RB//R,/RB//,/RB,GBGB"
-31.023	",R/,R/,R//RB,GB/R,R/RB//R,R/RB//R,R/RB//,/RB,"
-31.7161	",R/,R/,R//RB,GB/R,R/RB//R,R/RB//R,R/RB//,/RB,GB"
-32.4092	",R/,R/,R//RB,GB/R,R/RB//R,R/RB//R,R/RB//,/RB,GBGB"
-35.5763	",R/,R/,R//RB,GB/R,R/RBR/R,R/RBR/R,R/RBR/,/RB,"
-36.2695	",R/,R/,R//RB,GB/R,R/RBR/R,R/RBR/R,R/RBR/,/RB,GB"
-36.9626	",R/,R/,R//RB,GB/R,R/RBR/R,R/RBR/R,R/RBR/,/RB,GBGB"
-36.2005	",R/,R/,R//RB,GBGB/R,/RB//R,/RB//R,/RB//,/RB,"
-36.8936	",R/,R/,R//RB,GBGB/R,/RB//R,/RB//R,/RB//,/RB,GB"
-31.7161	",R/,R/,R//RB,GBGB/R,R/RB//R,R/RB//R,R/RB//,/RB,"
-32.4092	",R/,R/,R//RB,GBGB/R,R/RB//R,R/RB//R,R/RB//,/RB,GB"
-36.2695	",R/,R/,R//RB,GBGB/R,R/RBR/R,R/RBR/R,R/RBR/,/RB,"
-36.9626	",R/,R/,R//RB,GBGB/R,R/RBR/R,R/RBR/R,R/RBR/,/RB,GB"
-36.8936	",R/,R/,R//RB,GBGBGB/R,/RB//R,/RB//R,/RB//,/RB,"
-32.4092	",R/,R/,R//RB,GBGBGB/R,R/RB//R,R/RB//R,R/RB//,/RB,"
-36.9626	",R/,R/,R//RB,GBGBGB/R,R/RBR/R,R/RBR/R,R/RBR/,/RB,"
-34.8142	",R/,R/,R/R,/RB//R,/RB//R,/RB//R,/RB//,/RB,"
-35.5073	",R/,R/,R/R,/RB//R,/RB//R,/RB//R,/RB//,/RB,GB"
-36.2005	",R/,R/,R/R,/RB//R,/RB//R,/RB//R,/RB//,/RB,GBGB"
-36.8936	",R/,R/,R/R,/RB//R,/RB//R,/RB//R,/RB//,/RB,GBGBGB"
-30.3412	",R/,R/,R/R,R/RB//R,R/RB//R,R/RB//R,R/RB//,/RB,"
-31.0343	",R/,R/,R/R,R/RB//R,R/RB//R,R/RB//R,R/RB//,/RB,GB"
-31.7274	",R/,R/,R/R,R/RB//R,R/RB//R,R/RB//R,R/RB//,/RB,GBGB"
-32.4206	",R/,R/,R/R,R/RB//R,R/RB//R,R/RB//R,R/RB//,/RB,GBGBGB"
-34.8832	",R/,R/,R/R,R/RBR/R,R/RBR/R,R/RBR/R,R/RBR/,/RB,"
-35.5763	",R/,R/,R/R,R/RBR/R,R/RBR/R,R/RBR/R,R/RBR/,/RB,GB"
