binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=2h
-14.5958  "G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/"
-13.6303  "G,/RG,/RG,/RG,/RG,/RG,/RG,/RG,/RG,/R"
-12.3692  "G,/RG,/RG,/RG,/RG,/RG,/RG,/RG,/RG,/RR"
-13.5253  "G,/RG,G/RG,G/RG,G/RG,G/RG,G/RG,G/RG,G/RG,G/RR"
-11.4044  "G,/RR,,/RR,,/RR,,/RR,,/RR"
-11.5933  "G,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-11.5537  "G,/RR,G,/RR,G,/RR,G,/RR,G,/R"
-9.12178  "G,/RR,G,/RR,G,/RR,G,/RR,G,/RR"
-11.0127  "G,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-14.4001  "G,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR"
-12.9014  "G,/RRG,/RRG,/RRG,/RRG,/RRG,/RRG,/RRG,/RRG,/RR"
-15.1229  "G,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
-14.2145  "G,G,G,G,G,G,G,G,G,"
-14.7912  "G,G,G,G,G,G,G,G,G,/R"
-15.4294  "G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R"
-13.92  "G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R/R"
-15.7705  "G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R/R/R"
-15.2739  "G,G,G,G,G,G,G,G,G,B"
-14.7034  "G,G,G,G,G,G,G,G,G,G"
-15.0088  "G,G,G,G,G,G,G,G,G,G/R/R/R/R/R/R/R/R/R"
-11.9061  "G,G,G,G,G,G,G,G,G,R"
-15.2785  "G,G,G,G,G,G,G,G,G,RR"
-15.2535  "G,G,RG,RG,RG,RG,RG,RG,RG,RR"
-15.4746  "G,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-11.8542  "G,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
