binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --threads=4 --top=10000 --time=1h
-14.2108	"R/,/G,R/,/B,R/,/G,R/,/G,R/,/G"
-12.7976	"R/,/G,R/,/G,/,/G,/,/G,/,/G"
-12.7976	"R/,/G,R/,/G,/,/G,/,/G,R/,/G"
-12.7976	"R/,/G,R/,/G,/,/G,R/,/G,/,/G"
-12.7976	"R/,/G,R/,/G,/,/G,R/,/G,R/,/G"
-19.5851	"R/,/G,R/,/G,/G,/G,/G,/G,/G,/G"
-18.1988	"R/,/G,R/,/G,/G,/G,/G,/G,/G,R/"
-18.1988	"R/,/G,R/,/G,/G,/G,/G,/G,R/,/G"
-18.1988	"R/,/G,R/,/G,/G,/G,/G,R/,/G,/G"
-16.8125	"R/,/G,R/,/G,/G,/G,/G,R/,/G,R/"
-18.1988	"R/,/G,R/,/G,/G,/G,R/,/G,/G,/G"
-16.8125	"R/,/G,R/,/G,/G,/G,R/,/G,/G,R/"
-16.8125	"R/,/G,R/,/G,/G,/G,R/,/G,R/,/G"
-18.1988	"R/,/G,R/,/G,/G,R/,/G,/G,/G,/G"
-16.8125	"R/,/G,R/,/G,/G,R/,/G,/G,/G,R/"
-16.8125	"R/,/G,R/,/G,/G,R/,/G,/G,R/,/G"
-16.8125	"R/,/G,R/,/G,/G,R/,/G,R/,/G,/G"
-15.4262	"R/,/G,R/,/G,/G,R/,/G,R/,/G,R/"
-14.2665	"R/,/G,R/,/G,B/,/G,B/,/G,B/,/G"
-14.2665	"R/,/G,R/,/G,B/,/G,B/,/G,R/,/G"
-14.2665	"R/,/G,R/,/G,B/,/G,R/,/G,B/,/G"
-14.2665	"R/,/G,R/,/G,B/,/G,R/,/G,R/,/G"
-14.2221	"R/,/G,R/,/G,G/,/G,G/,/G,G/,/G"
-14.2221	"R/,/G,R/,/G,G/,/G,G/,/G,R/,/G"
-14.2221	"R/,/G,R/,/G,G/,/G,R/,/G,G/,/G"
-14.2221	"R/,/G,R/,/G,G/,/G,R/,/G,R/,/G"
-12.8144	"R/,/G,R/,/G,R/,/,R/,/,R/,/G"
-12.8144	"R/,/G,R/,/G,R/,/,R/,/G,R/,/G"
-13.1455	"R/,/G,R/,/G,R/,//G,R/,//G,R/,/G"
-13.1631	"R/,/G,R/,/G,R/,//G,R/,/G,R/,/G"
-14.2108	"R/,/G,R/,/G,R/,/B,R/,/B,R/,/G"
-14.2108	"R/,/G,R/,/G,R/,/B,R/,/G,R/,/G"
-12.7976	"R/,/G,R/,/G,R/,/G,/,/G,/,/G"
-12.7976	"R/,/G,R/,/G,R/,/G,/,/G,R/,/G"
-18.1988	"R/,/G,R/,/G,R/,/G,/G,/G,/G,/G"
-16.8125	"R/,/G,R/,/G,R/,/G,/G,/G,/G,R/"
-16.8125	"R/,/G,R/,/G,R/,/G,/G,/G,R/,/G"
-16.8125	"R/,/G,R/,/G,R/,/G,/G,R/,/G,/G"
-15.4262	"R/,/G,R/,/G,R/,/G,/G,R/,/G,R/"
-14.2665	"R/,/G,R/,/G,R/,/G,B/,/G,B/,/G"
-14.2665	"R/,/G,R/,/G,R/,/G,B/,/G,R/,/G"
-14.2221	"R/,/G,R/,/G,R/,/G,G/,/G,G/,/G"
-14.2221	"R/,/G,R/,/G,R/,/G,G/,/G,R/,/G"
-12.8144	"R/,/G,R/,/G,R/,/G,R/,/,R/,/G"
-13.1543	"R/,/G,R/,/G,R/,/G,R/,//G,R/,/G"
-14.2108	"R/,/G,R/,/G,R/,/G,R/,/B,R/,/G"
-12.7976	"R/,/G,R/,/G,R/,/G,R/,/G,/,/G"
-16.8125	"R/,/G,R/,/G,R/,/G,R/,/G,/G,/G"
-15.4262	"R/,/G,R/,/G,R/,/G,R/,/G,/G,R/"
-14.2665	"R/,/G,R/,/G,R/,/G,R/,/G,B/,/G"
-14.2221	"R/,/G,R/,/G,R/,/G,R/,/G,G/,/G"
-9.91958	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/"
-12.1291	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/B"
-3.48179	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/G"
-12.098	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/R"
-16.8544	"R/,/G,R/,/G,R/,/G,R/,/G,R/,B/G"
-16.707	"R/,/G,R/,/G,R/,/G,R/,/G,R/,G/G"
-16.288	"R/,/G,R/,/G,R/,/G,R/,/G,R/,R/G"
