binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=1h
-17.401	"G/,/R,G/,/RR,G/,/R,G/,/R,G/,/RR"
-17.401	"G/,/R,G/,/RR,G/,/R,G/,/RR,G/,/R"
-17.401	"G/,/R,G/,/RR,G/,/R,G/,/RR,G/,/RR"
-17.401	"G/,/R,G/,/RR,G/,/RR,G/,/R,G/,/R"
-17.401	"G/,/R,G/,/RR,G/,/RR,G/,/R,G/,/RR"
-17.401	"G/,/R,G/,/RR,G/,/RR,G/,/RR,G/,/R"
-17.401	"G/,/R,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-13.9275	"G/,/RR,/,/RR,/,/RR,/,/RR,/,/RR"
-13.9275	"G/,/RR,/,/RR,/,/RR,/,/RR,G/,/RR"
-13.9275	"G/,/RR,/,/RR,/,/RR,G/,/RR,/,/RR"
-13.9275	"G/,/RR,/,/RR,/,/RR,G/,/RR,G/,/RR"
-13.9275	"G/,/RR,/,/RR,G/,/RR,/,/RR,/,/RR"
-13.9275	"G/,/RR,/,/RR,G/,/RR,/,/RR,G/,/RR"
-13.9275	"G/,/RR,/,/RR,G/,/RR,G/,/RR,/,/RR"
-13.9275	"G/,/RR,/,/RR,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,B/,/RR,B/,/RR,B/,/RR,B/,/RR"
-15.5857	"G/,/RR,B/,/RR,B/,/RR,B/,/RR,G/,/RR"
-15.5857	"G/,/RR,B/,/RR,B/,/RR,G/,/RR,B/,/RR"
-15.5857	"G/,/RR,B/,/RR,B/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,B/,/RR,G/,/RR,B/,/RR,B/,/RR"
-15.5857	"G/,/RR,B/,/RR,G/,/RR,B/,/RR,G/,/RR"
-15.5857	"G/,/RR,B/,/RR,G/,/RR,G/,/RR,B/,/RR"
-15.5857	"G/,/RR,B/,/RR,G/,/RR,G/,/RR,G/,/RR"
-17.401	"G/,/RR,G/,/R,G/,/R,G/,/R,G/,/R"
-17.401	"G/,/RR,G/,/R,G/,/R,G/,/R,G/,/RR"
-17.401	"G/,/RR,G/,/R,G/,/R,G/,/RR,G/,/R"
-17.401	"G/,/RR,G/,/R,G/,/R,G/,/RR,G/,/RR"
-17.401	"G/,/RR,G/,/R,G/,/RR,G/,/R,G/,/R"
-17.401	"G/,/RR,G/,/R,G/,/RR,G/,/R,G/,/RR"
-17.401	"G/,/RR,G/,/R,G/,/RR,G/,/RR,G/,/R"
-17.401	"G/,/RR,G/,/R,G/,/RR,G/,/RR,G/,/RR"
-13.9275	"G/,/RR,G/,/RR,/,/RR,/,/RR,/,/RR"
-13.9275	"G/,/RR,G/,/RR,/,/RR,/,/RR,G/,/RR"
-13.9275	"G/,/RR,G/,/RR,/,/RR,G/,/RR,/,/RR"
-13.9275	"G/,/RR,G/,/RR,/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,B/,/RR,B/,/RR,B/,/RR"
-15.5857	"G/,/RR,G/,/RR,B/,/RR,B/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,B/,/RR,G/,/RR,B/,/RR"
-15.5857	"G/,/RR,G/,/RR,B/,/RR,G/,/RR,G/,/RR"
-17.401	"G/,/RR,G/,/RR,G/,/R,G/,/R,G/,/R"
-17.401	"G/,/RR,G/,/RR,G/,/R,G/,/R,G/,/RR"
-17.401	"G/,/RR,G/,/RR,G/,/R,G/,/RR,G/,/R"
-17.401	"G/,/RR,G/,/RR,G/,/R,G/,/RR,G/,/RR"
-13.9275	"G/,/RR,G/,/RR,G/,/RR,/,/RR,/,/RR"
-13.9275	"G/,/RR,G/,/RR,G/,/RR,/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,B/,/RR,B/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,B/,/RR,G/,/RR"
-17.401	"G/,/RR,G/,/RR,G/,/RR,G/,/R,G/,/R"
-17.401	"G/,/RR,G/,/RR,G/,/RR,G/,/R,G/,/RR"
-13.9275	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,B/,/RR"
-8.99886	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/R"
-3.47494	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-13.3188	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G//,/RR"
-20.0323	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G//RR,G//RR"
-15.8734	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/B,B/RR"
-15.8734	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/G,G/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/R,R/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,R/,/RR"
-14.5741	"G/,/RR,G/,/RR,G/,/RR,G/,/RR/,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,G/,/RRB,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,G/,/RRG,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,G/,/RRR,G/,/RR"
-13.3188	"G/,/RR,G/,/RR,G/,/RR,G//,/RR,G/,/RR"
-13.3188	"G/,/RR,G/,/RR,G/,/RR,G//,/RR,G//,/RR"
-20.0323	"G/,/RR,G/,/RR,G/,/RR,G//RR,G/,/RR,G//RR"
-20.0323	"G/,/RR,G/,/RR,G/,/RR,G//RR,G//RR,G/,/RR"
-21.4186	"G/,/RR,G/,/RR,G/,/RR,G//RR,G//RR,G//RR,G//RR"
-15.1803	"G/,/RR,G/,/RR,G/,/RR,G/B,B/RR/B,G/B,B/RR"
-15.1803	"G/,/RR,G/,/RR,G/,/RR,G/G,G/RR/G,G/G,G/RR"
-14.8926	"G/,/RR,G/,/RR,G/,/RR,G/R,R/RR/R,G/R,R/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,R/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RR,R/,/RR,R/,/RR"
-14.5741	"G/,/RR,G/,/RR,G/,/RR/,G/,/RR,G/,/RR"
-14.5741	"G/,/RR,G/,/RR,G/,/RR/,G/,/RR/,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RRB,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RRB,G/,/RRB,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RRG,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RRG,G/,/RRG,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RRR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,G/,/RR,G/,/RRR,G/,/RRR,G/,/RR"
-13.3188	"G/,/RR,G/,/RR,G//,/RR,G/,/RR,G/,/RR"
-13.3188	"G/,/RR,G/,/RR,G//,/RR,G/,/RR,G//,/RR"
-13.3188	"G/,/RR,G/,/RR,G//,/RR,G//,/RR,G/,/RR"
-13.3188	"G/,/RR,G/,/RR,G//,/RR,G//,/RR,G//,/RR"
-20.0323	"G/,/RR,G/,/RR,G//RR,G/,/RR,G/,/RR,G//RR"
-20.0323	"G/,/RR,G/,/RR,G//RR,G/,/RR,G//RR,G/,/RR"
-21.4186	"G/,/RR,G/,/RR,G//RR,G/,/RR,G//RR,G//RR,G//RR"
-20.0323	"G/,/RR,G/,/RR,G//RR,G//RR,G/,/RR,G/,/RR"
-21.4186	"G/,/RR,G/,/RR,G//RR,G//RR,G/,/RR,G//RR,G//RR"
-21.4186	"G/,/RR,G/,/RR,G//RR,G//RR,G//RR,G/,/RR,G//RR"
-21.4186	"G/,/RR,G/,/RR,G//RR,G//RR,G//RR,G//RR,G/,/RR"
-22.8049	"G/,/RR,G/,/RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-14.4871	"G/,/RR,G/,/RR,G/B,B/RR/B,G/B,B/RR/B,G/B,B/RR"
-14.4871	"G/,/RR,G/,/RR,G/G,G/RR/G,G/G,G/RR/G,G/G,G/RR"
