binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --threads=4 --top=10000 --time=2h
-14.2759	"G,G,G,G,G,G,G,G,G,G"
-13.94	"G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.4474	"G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.1086	"G/,/,/,/,/,/,/,/,/,"
-16.2663	"G/,/,/,/,/,/,/,/,/,/"
-15.2022	"G/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-10.5687	"G/,/G,R/,/G,R/,/G,R/,/G,R/,/G"
-12.6156	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-13.2316	"G/,G,R/,G,R/,G,R/,G,R/,G"
-14.0909	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-16.4097	"G//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G"
-16.3444	"G/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-15.0582	"G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-15.1472	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-15.9906	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.1007	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-16.3672	"R,,,,,,,,,"
-14.4656	"R,,/G,/G,/G,/G,/G,/G,/G,/G"
-12.9072	"R,,R,,R,,R,,R,G"
-12.3825	"R,,R,G,R,G,R,G,R,G"
-14.3463	"R,/,/,/,/,/,/,/,/,"
-12.1708	"R,/,/,/,/,/,/,/,/,/"
-13.9953	"R,/,/,/,/,/,/,/,/,/G"
-11.7168	"R,/,R,/,R,/,R,/,R,/G"
-15.0787	"R,/,R/,R/,R/,R/,R/,R/,R/,R/G"
-13.231	"R,/B,R,/B,R,/B,R,/B,R,/G"
-12.8723	"R,/G,,/G,,/G,,/G,,/G"
-15.5316	"R,/G,/G,/G,/G,/G,/G,/G,/G,"
-9.92823	"R,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-12.9433	"R,/G,B,/G,B,/G,B,/G,B,/G"
-13.1735	"R,/G,G,/G,G,/G,G,/G,G,/G"
-11.8893	"R,/G,R,/G,R,/G,R,/G,R,/"
-9.72949	"R,/G,R,/G,R,/G,R,/G,R,/G"
-13.6371	"R,/G,R,/G,R,/G,R,/G,R,/R"
-12.8644	"R,/G,R,/G,R,/G,R,/G,R,G"
-10.7915	"R,/G,R/,/G,R/,/G,R/,/G,R/,/G"
-16.1405	"R,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.5463	"R,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-15.0987	"R,/G/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G/R,/G"
-12.7546	"R,/GR,/GR,/GR,/GR,/GR,/GR,/GR,/GR,/G"
-13.8673	"R,/R,/R,/R,/R,/R,/R,/R,/R,/"
-14.9731	"R,/R,/R,/R,/R,/R,/R,/R,/R,/B"
-11.4907	"R,/R,/R,/R,/R,/R,/R,/R,/R,/G"
-14.0909	"R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-15.6396	"R,/R,/R,/R,/R,/R,/R,/R,/R,G"
-14.1721	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-13.5789	"R,/R,R,/R,R,/R,R,/R,R,/G"
-15.843	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,G"
-13.0903	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-15.0582	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-14.144	"R,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-12.9072	"R,G,,G,,G,,G,,G"
-15.1373	"R,G,G,G,G,G,G,G,G,"
-11.6449	"R,G,G,G,G,G,G,G,G,G"
-12.3825	"R,G,R,G,R,G,R,G,,G"
-13.5527	"R,G,R,G,R,G,R,G,R,/G"
-10.5083	"R,G,R,G,R,G,R,G,R,G"
-12.8644	"R,G,R/,G,R/,G,R/,G,R/,G"
-15.6396	"R,G/,G/,G/,G/,G/,G/,G/,G/,G"
-15.843	"R,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-14.0152	"R,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-15.5983	"R,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-15.0238	"R,GR,GR,GR,GR,GR,GR,GR,GR,G"
-13.201	"R,R,R,R,R,R,R,R,R,"
-16.0668	"R,R,R,R,R,R,R,R,R,/"
-14.019	"R,R,R,R,R,R,R,R,R,/G"
-15.5011	"R,R,R,R,R,R,R,R,R,/G/G/G/G/G/G/G/G"
-13.4433	"R,R,R,R,R,R,R,R,R,/G/G/G/G/G/G/G/G/G"
-15.771	"R,R,R,R,R,R,R,R,R,/G/G/G/G/G/G/G/G/G/G"
-15.021	"R,R,R,R,R,R,R,R,R,B"
-11.6449	"R,R,R,R,R,R,R,R,R,G"
-15.4559	"R,R,R,R,R,R,R,R,R,G/G/G/G/G/G/G/G/G/G"
-14.2759	"R,R,R,R,R,R,R,R,R,R"
-16.0341	"R,R,R,R,R,R,R,R,R,R/G"
-14.2657	"R,R,R,R,R,R,R,R,R,R/G/G/G/G/G/G/G/G/G"
-15.5856	"R,R/,R/,R/,R/,R/,R/,R/,R/,/"
-16.3744	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-10.763	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-12.0956	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-15.5983	"R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-13.8893	"R,RG,RG,RG,RG,RG,RG,RG,RG,G"
-14.7159	"R,RG,RG,RG,RG,RG,RG,RG,RG,RG"
-12.1792	"R/,,R/,,R/,,R/,,R/,G"
-10.4869	"R/,/,/,/,/,/,/,/,/,"
-12.8139	"R/,/,/,/,/,/,/,/,/,/"
-15.0218	"R/,/,/,/,/,/,/,/,/,/G"
